ticker,evaluation_date,signal,z_score_strength,pct_distance,close,sma_20
SPY,2026-07-24,NEW_BUY,0.58,0.0315,738.18,715.65
QQQ,2026-07-24,NEW_BUY,0.31,0.0264,691.96,674.19
DIA,2026-07-24,NEW_BUY,0.83,0.0399,516.26,496.46
XLK,2026-07-24,NEW_BUY,0.57,0.0701,178.45,166.75
XLV,2026-07-24,NEW_BUY,1.54,0.0722,161.44,150.57
XLF,2026-07-24,NEW_BUY,1.51,0.0729,55.83,52.04
XLY,2026-07-24,NEW_SELL,-1.33,-0.0532,108.76,114.88
XLP,2026-07-24,NEW_BUY,0.02,0.0003,83.21,83.18
XLE,2026-07-24,NEW_BUY,1.07,0.043,59.38,56.93
XLI,2026-07-24,NEW_BUY,1.23,0.0512,181.94,173.09
XLB,2026-07-24,HOLD_CASH,-0.25,-0.0067,50.29,50.63
XLRE,2026-07-24,NEW_BUY,0.92,0.035,44.95,43.43
XLU,2026-07-24,NEW_BUY,0.99,0.0206,46.19,45.26
XLC,2026-07-24,HOLD_CASH,-1.87,-0.0616,105.38,112.3
EEM,2026-07-24,NEW_BUY,0.24,0.0172,64.6,63.51
VWO,2026-07-24,NEW_BUY,0.13,0.0056,58.1,57.78
VEA,2026-07-24,NEW_BUY,0.42,0.0196,69.78,68.44
IEFA,2026-07-24,NEW_BUY,0.52,0.0196,95.76,93.92
VT,2026-07-24,NEW_BUY,0.52,0.0265,154.31,150.32
ACWI,2026-07-24,NEW_BUY,0.53,0.0273,154.34,150.24
EWJ,2026-07-24,NEW_BUY,0.39,0.0189,91.1,89.41
VGK,2026-07-24,NEW_BUY,0.61,0.0239,87.83,85.78
IEUR,2026-07-24,NEW_BUY,0.6,0.0236,74.42,72.7
MCHI,2026-07-24,HOLD_CASH,-0.7,-0.029,53.35,54.95
FXI,2026-07-24,HOLD_CASH,-0.3,-0.0133,34.46,34.92
INDA,2026-07-24,NEW_SELL,-0.72,-0.0194,47.63,48.57
EWC,2026-07-24,NEW_BUY,0.87,0.0274,58.82,57.25
EWU,2026-07-24,NEW_BUY,0.67,0.0166,46.7,45.94
EWA,2026-07-24,NEW_BUY,0.16,0.0043,28.49,28.37
EWZ,2026-07-24,HOLD_CASH,-0.13,-0.0082,36.17,36.47
